Domain	SpendDate	SpendSum	SalesRevenue	ARank	QRank	Premium_yes	Total	STATUS
hireitdone.com	2023-07-29 07:00:00	31	0	12672543	-1	1.0	34.0	Accepted
hivesyndicate.net	2023-07-28 07:00:00	373	0	80647607	-1	0.0	1.0	Accepted
holoholoministries.com	2023-06-20 07:00:00	16	920	75818460	-1	0.0	18.0	Accepted
howardsystems.com	2023-07-29 07:00:00	281	0	19364642	695194	2.0	18.0	Accepted
humagel.com	2023-07-31 07:00:00	1621	117887	2228171	-1	8.0	42.0	Accepted
ibanezdeanmarketing.com	2023-06-21 07:00:00	0	0	100000001	0	0.0	7.0	Rejected
ideallandscapingnc.com	2023-07-29 07:00:00	0	0	24883269	-1	0.0	7.0	Accepted
iitsource.com	2023-07-18 07:00:00	0	0	65920747	-1	0.0	1.0	Accepted
ilovetocater.com	2023-06-21 07:00:00	0	0	38072098	0	1.0	21.0	Accepted
imvets.com	2023-08-01 07:00:00	57	0	1903845	-1	0.0	24.0	Rejected
industrialsafetyllc.net	2023-06-23 07:00:00	0	0	71490977	-1	0.0	15.0	Accepted
inlinemedia.com	2023-07-29 07:00:00	350	0	14877969	-1	0.0	28.0	Accepted
inlineps.com	2023-09-05 17:24:00	0	0	100000001	-1	2.0	34.0	Accepted
innovatenowllc.com	2023-07-27 07:00:00	0	0	16970058	-1	0.0	19.0	Accepted
innsolgroup.com	2023-07-10 07:00:00	117	0	13230967	695988	0.0	1.0	Rejected
integrityfuneralservice.com	2023-07-15 07:00:00	1048	0	28978343	211854	5.0	38.0	Accepted
integritymillwork.net	2023-07-29 07:00:00	350	20433	22152425	-1	0.0	21.0	Rejected
intennasystems.com	2023-07-29 22:00:00	240	0	17797234	-1	1.0	42.0	Accepted
invictusbrewingco.com	2023-07-30 07:00:00	30	0	4102611	-1	0.0	3.0	Accepted
iowaearcenter.com	2023-07-30 07:00:00	350	22379	23136526	-1	0.0	29.0	Accepted
iroquoissprings.com	2023-07-30 07:00:00	987	0	100004	-1	1.0	34.0	Accepted
ishipitright.com	2023-07-30 07:00:00	235	0	62962409	-1	0.0	15.0	Accepted
jab-marketing.com	2023-07-18 07:00:00	0	0	55836448	-1	0.0	5.0	Accepted
jabosbarbeq.com	2023-07-30 07:00:00	77	0	15146877	-1	0.0	4.0	Rejected
jannjune.com	2023-07-30 07:00:00	1045	60099	5911562	-1	0.0	6.0	Accepted
jatnet.com	2023-07-30 07:00:00	61	0	32874354	-1	3.0	25.0	Accepted
jbrowneexcavating.com	2023-07-28 21:08:00	0	8395	85324772	-1	0.0	25.0	Accepted
jdmainaccounting.com	2023-06-22 07:00:00	0	0	100000001	-1	0.0	11.0	Accepted
jeanvovos.com	2023-06-22 07:00:00	0	0	28599236	-1	0.0	15.0	Accepted
jeffgoodin.com	2023-07-30 07:00:00	115	7782	75193025	-1	0.0	1.0	Accepted
jellyfishcreates.com	2023-06-22 07:00:00	350	22379	100000001	-1	1.0	27.0	Accepted
jemsiboutique.com	2023-07-30 07:00:00	527	35282	100000001	-1	0.0	3.0	Accepted
jennirudolph.com	2023-06-24 07:00:00	0	0	32796698	-1	0.0	31.0	Rejected
jnjcattleco.com	2023-07-30 07:00:00	227	14958	100000001	-1	0.0	1.0	Rejected
jongiganti.com	2023-06-23 07:00:00	723	0	64299491	-1	1.0	16.0	Accepted
js2aero.aero	2023-07-31 07:00:00	163	0	80826858	-1	0.0	1.0	Accepted
jsquaredent.com	2023-06-23 07:00:00	0	0	20489634	0	0.0	34.0	Rejected
junkans.com	2023-06-24 07:00:00	350	0	100000001	-1	1.0	28.0	Accepted
kanbesmarkets.org	2023-07-31 07:00:00	766	0	9842765	-1	0.0	1.0	Accepted
kcyp.org	2023-07-31 07:00:00	264	0	37584333	-1	0.0	1.0	Accepted
